,Year,Semester,Course,Total Students,Course Name,Average_Grade
1,2014-15,1,CE601,17,STATISTICAL ANALYSIS FOR CIVIL ENGINEERS,7.41176470588235
2,2014-15,1,MTH423A,42,INTRODUCTION TO CONTINUUM MACHANICS,6.14285714285714
3,2014-15,1,MTH401A,39,THEORY OF COMPUTATION,5.53846153846154
4,2014-15,1,MTH517A,23,TIME SERIES ANALYSIS,6.52173913043478
5,2014-15,1,ENG448A,17,LANGAUGES OF SOUTH ASIA,6.94117647058824
6,2014-15,1,ECO261A,21,INTRODUCTION TO MATHEMETICAL ECONOMICS,8.19047619047619
7,2014-15,1,AE201A,28,INTRODUCTION TO AEROSPACE ENGINEERING,8.92857142857143
8,2014-15,1,ME401A,39,ENERGY SYSTEMS-II,5.17948717948718
9,2014-15,1,PSY458A,30,ORGANIZATIONAL AND ADMINISTRATIVE PSYCHOLOGY,7.6
10,2014-15,1,AE321A,15,FLIGHT MECHANICS I,5.33333333333333
11,2014-15,1,BSE211A,41,"ORGAN SYSTEM, PHYSIOLOGY AND ANATOMY",7.31707317073171
12,2014-15,1,ESO207A,20,DATA STRUCTURE & ALGORITHM,6.5
13,2014-15,1,PHI446A,24,PHILOSOPHY OF SCIENCE,7.08333333333333
14,2014-15,1,MTH301A,30,ANALYSIS- I,6.06666666666667
15,2014-15,1,CE441A,40,CONSTRUCTION MANAGEMENT,5.75
16,2014-15,1,CE481A,15,TRANSPORTATION FACILITIES DESIGN,6.53333333333333
17,2014-15,1,PHY102A,402,PHYSICS-I,7.14925373134328
18,2014-15,1,ECO501A,17,ENVIROMENTAL ECONOMICS AND POLICY,7.05882352941176
19,2014-15,1,MSE659A,16,POWDER METALLURGY,5.5
20,2014-15,1,ECO321A,28,MACROECONOMICS-II,7.57142857142857
21,2014-15,1,PSY451A,38,PSYCHOLOGY OF ADJUSTMENT,7
22,2014-15,1,CE442A,19,CIVIL ENGINEERING SYSTEMS ANALYSIS,6.94736842105263
23,2014-15,1,CS201A,27,MATHEMATICS FOR COMPUTER SCIENCE -I,5.18518518518518
